Timestamp, Event, Value
1.284,Turn Left,1
1.284,Accelerate,1
1.299,Turn Left,1
1.299,Accelerate,1
1.316,Turn Left,1
1.316,Accelerate,1
1.333,Turn Left,1
1.333,Accelerate,1
1.349,Turn Left,1
1.349,Accelerate,1
1.364,Turn Left,1
1.365,Accelerate,1
1.382,Turn Left,1
1.382,Accelerate,1
1.400,Turn Left,1
1.401,Accelerate,1
1.415,Accelerate,1
1.433,Accelerate,1
1.449,Accelerate,1
1.466,Accelerate,1
1.483,Accelerate,1
1.498,Accelerate,1
1.516,Turn Right,1
1.516,Accelerate,1
1.533,Damage taken,0.025000002
1.533,Turn Right,1
1.543,Accelerate,1
1.549,Damage taken,0.025000002
1.549,Turn Right,1
1.549,Accelerate,1
1.567,Damage taken,0.025000002
1.567,Accelerate,1
1.582,Damage taken,0.025000002
1.582,Accelerate,1
1.599,Damage taken,0.025000002
1.599,Accelerate,1
1.615,Damage taken,0.025000002
1.615,Accelerate,1
1.632,Damage taken,0.025000002
1.632,Accelerate,1
1.649,Damage taken,0.025000002
1.650,Accelerate,1
1.666,Damage taken,0.025000002
1.666,Accelerate,1
1.682,Damage taken,0.025000002
1.682,Accelerate,1
1.698,Damage taken,0.025000002
1.698,Accelerate,1
1.715,Damage taken,0.025000002
1.715,Accelerate,1
1.733,Damage taken,0.025000002
1.733,Accelerate,1
1.749,Damage taken,0.025000002
1.749,Accelerate,1
1.765,Damage taken,0.025000002
1.765,Accelerate,1
1.782,Damage taken,0.025000002
1.782,Accelerate,1
1.799,Damage taken,0.025000002
1.799,Accelerate,1
1.815,Damage taken,0.025000002
1.815,Accelerate,1
1.832,Damage taken,0.025000002
1.832,Accelerate,1
1.850,Damage taken,0.025000002
1.850,Accelerate,1
1.866,Damage taken,0.025000002
1.866,Accelerate,1
1.883,Damage taken,0.025000002
1.883,Accelerate,1
1.899,Damage taken,0.025000002
1.899,Accelerate,1
1.916,Damage taken,0.025000002
1.916,Accelerate,1
1.932,Damage taken,0.025000002
1.933,Accelerate,1
1.949,Damage taken,0.025000002
1.949,Accelerate,1
1.965,Damage taken,0.025000002
1.966,Accelerate,1
1.982,Damage taken,0.025000002
1.982,Accelerate,1
1.998,Damage taken,0.025000002
1.998,Accelerate,1
2.015,Damage taken,0.025000002
2.015,Accelerate,1
2.032,Damage taken,0.025000002
2.032,Turn Right,1
2.033,Accelerate,1
2.049,Turn Right,1
2.049,Accelerate,1
2.066,Turn Right,1
2.066,Accelerate,1
2.082,Turn Right,1
2.082,Accelerate,1
2.099,Turn Right,1
2.099,Accelerate,1
2.116,Turn Right,1
2.116,Accelerate,1
2.132,Turn Right,1
2.132,Accelerate,1
2.149,Turn Right,1
2.149,Accelerate,1
2.166,Turn Right,1
2.166,Accelerate,1
2.182,Accelerate,1
2.199,Accelerate,1
2.216,Accelerate,1
2.232,Accelerate,1
2.248,Accelerate,1
2.265,Turn Left,1
2.265,Accelerate,1
2.282,Turn Left,1
2.282,Accelerate,1
2.299,Turn Left,1
2.299,Accelerate,1
2.315,Turn Left,1
2.315,Accelerate,1
2.332,Turn Left,1
2.332,Accelerate,1
2.348,Turn Left,1
2.348,Accelerate,1
2.366,Turn Left,1
2.366,Accelerate,1
2.382,Turn Left,1
2.382,Accelerate,1
2.399,Turn Left,1
2.399,Accelerate,1
2.416,Turn Left,1
2.416,Accelerate,1
2.432,Turn Left,1
2.432,Accelerate,1
2.448,Turn Left,1
2.448,Accelerate,1
2.465,Turn Left,1
2.466,Accelerate,1
2.482,Turn Left,1
2.482,Accelerate,1
2.498,Turn Left,1
2.498,Accelerate,1
2.515,Turn Left,1
2.515,Accelerate,1
2.531,Turn Left,1
2.531,Accelerate,1
2.548,Turn Left,1
2.548,Accelerate,1
2.566,Accelerate,1
2.583,Accelerate,1
2.598,Accelerate,1
2.615,Accelerate,1
2.632,Accelerate,1
2.648,Accelerate,1
2.665,Accelerate,1
2.682,Accelerate,1
2.699,Accelerate,1
2.716,Accelerate,1
2.732,Accelerate,1
2.748,Accelerate,1
2.765,Accelerate,1
2.782,Accelerate,1
2.799,Accelerate,1
2.815,Accelerate,1
2.831,Accelerate,1
2.850,Accelerate,1
2.866,Accelerate,1
2.882,Accelerate,1
2.898,Accelerate,1
2.915,Accelerate,1
2.932,Turn Right,1
2.932,Accelerate,1
2.949,Turn Right,1
2.949,Accelerate,1
2.965,Turn Right,1
2.965,Accelerate,1
2.982,Turn Right,1
2.982,Accelerate,1
2.999,Turn Right,1
2.999,Accelerate,1
3.015,Turn Right,1
3.015,Accelerate,1
3.032,Turn Right,1
3.032,Accelerate,1
3.049,Turn Right,1
3.049,Accelerate,1
3.066,Turn Right,1
3.066,Accelerate,1
3.082,Accelerate,1
3.098,Accelerate,1
3.116,Accelerate,1
3.132,Accelerate,1
3.149,Accelerate,1
3.165,Accelerate,1
3.182,Accelerate,1
3.198,Accelerate,1
3.215,Accelerate,1
3.232,Accelerate,1
3.249,Accelerate,1
3.265,Accelerate,1
3.282,Accelerate,1
3.299,Accelerate,1
3.316,Accelerate,1
3.332,Accelerate,1
3.348,Accelerate,1
3.365,Accelerate,1
3.382,Accelerate,1
3.399,Accelerate,1
3.415,Accelerate,1
3.432,Accelerate,1
3.449,Accelerate,1
3.465,Accelerate,1
3.482,Accelerate,1
3.498,Accelerate,1
3.515,Accelerate,1
3.532,Accelerate,1
3.549,Accelerate,1
3.565,Turn Left,1
3.566,Accelerate,1
3.582,Turn Left,1
3.582,Accelerate,1
3.600,Turn Left,1
